name,ticker,market,sector
General Co. for Land Reclamation Development & Reconstruction,AALR,EGX,Finance
Abou Kir Fertilizers & Chemical Industries Co.,ABUK,EGX,Process industries
Arab Co. for Asset Management & Development,ACAMD,EGX,Finance
A Capital Holding,ACAP,EGX,Finance
Arab Cotton Ginning Co.,ACGC,EGX,Process industries
Acrow Misr,ACRO,EGX,Producer manufacturing
Act Financial,ACTF,EGX,Finance
Arab Pharmaceuticals,ADCI,EGX,Health technology
Abu Dhabi Islamic Bank-Egypt,ADIB,EGX,Finance
Arab Dairy Products Co. Arab Dairy - Panda,ADPC,EGX,Consumer non-durables
Arab Development & Real Estate Investment,ADRI,EGX,Finance
Alahly For Development & Investment,AFDI,EGX,Finance
Alexandria Flour Mills Co.,AFMC,EGX,Retail trade
Arabia for Investment and Development,AIDC,EGX,Finance
Atlas for Investment & Food Industries SAE,AIFI,EGX,Process industries
Arabia Investments Holding SAE,AIH,EGX,Industrial services
Ajwa for Food Industries Co. Egypt,AJWA,EGX,Consumer non-durables
Alexandria Containers & Goods,ALCN,EGX,Transportation
Arab Aluminum Co. SAE,ALUM,EGX,Non-energy minerals
Amer Group Holding,AMER,EGX,Finance
Alexandria New Medical Center Co.,AMES,EGX,Health services
Arab Moltaqa Investments Company,AMIA,EGX,Finance
Alexandria Mineral Oils Co.,AMOC,EGX,Energy minerals
AL Moasher Pay for Electronic Payment and Collection (S.A.E),AMPI,EGX,Technology services
Alexandria National Co. for Financial Investment,ANFI,EGX,Finance
Arab Polvara Spinning & Weaving Co.,APSW,EGX,Process industries
Arab Developers Holding,ARAB,EGX,Finance
Arabian Cement Company,ARCC,EGX,Non-energy minerals
Egyptian Real Estate Group,AREH,EGX,Finance
Arab Valves Co.,ARVA,EGX,Producer manufacturing
ASEC Co. for Mining,ASCM,EGX,Non-energy minerals
Aspire Capital Holding for Financial Investments,ASPI,EGX,Finance
Al Tawfeek Leasing Company-A.T.LEASE,ATLC,EGX,Finance
Misr National Steel,ATQA,EGX,Non-energy minerals
Alexandria Company for Pharmaceuticals and Chemical Industries,AXPH,EGX,Health technology
El Badr Investment and Development - BID,BIDI,EGX,Process industries
ElBarbary Investment Group,BIGP,EGX,Distribution services
B Investments Holding SAE,BINV,EGX,Finance
GlaxoSmithKline S.A.E.,BIOC,EGX,Health technology
Bonyan for Development and Trade,BONY,EGX,Finance
Beltone Holding,BTFH,EGX,Finance
Cairo Educational Services,CAED,EGX,Consumer services
Suez Canal Bank SAE,CANA,EGX,Finance
QALA For Financial Investments,CCAP,EGX,Finance
